http_agent,version_release,screen_height,screen_width,model,screen_density_dpi,cpu_support_abis,screen_density
Dalvik/2.1.0 (Linux; U; Android 11; Pixel 2 Build/RP1A.201005.004.A1),11,1920,1080,Pixel2,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 9; MI 6 MIUI/V11.0.5.0.PCACNXM),9,1920,1080,MI6,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO A59s Build/LMY47I),5.1,1280,720,OPPOA59s,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 10; ELE-AL00 Build/HUAWEIELE-AL00),10,2340,1080,ELE-AL00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; OCE-AN50 Build/HUAWEIOCE-AN50),10,2376,1080,OCE-AN50,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 10; VOG-AL00 Build/HUAWEIVOG-AL00),10,2340,1080,VOG-AL00,375,"[arm64-v8a, armeabi-v7a, armeabi]",2.34375
Dalvik/2.1.0 (Linux; U; Android 9; Pixel 3 XL Build/PPRL.190801.002),9,1280,720,Pixel3XL,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R9s Build/NMF26F),7.1.1,1920,1080,OPPOR9s,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
"Dalvik/2.1.0 (Linux; U; Android 7.1.2; Standard PC (Q35 + ICH9, 2009) Build/N2G48H)",7.1.2,960,480,"StandardPC(Q35+ICH9,2009)",160,"[x86, armeabi-v7a, armeabi]",1
Dalvik/2.1.0 (Linux; U; Android 10; Mi 10 MIUI/V11.0.25.0.QJBCNXM),10,2340,1080,Mi10,440,"[arm64-v8a, armeabi-v7a, armeabi]",2.75
Dalvik/2.1.0 (Linux; U; Android 11; M2011K2C Build/RKQ1.200928.002),11,2400,1080,M2011K2C,420,"[arm64-v8a, armeabi-v7a, armeabi]",2.625
Dalvik/2.1.0 (Linux; U; Android 10; ANG-AN00 Build/HUAWEIANG-AN00),10,2340,1080,ANG-AN00,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2072A Build/RP1A.200720.012),11,2400,1080,V2072A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2049A Build/RP1A.200720.012),11,2400,1080,V2049A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V1981A Build/RP1A.200720.012),11,2408,1080,V1981A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 8.1.0; vivo Y71A Build/OPM1.171019.011),8.1.0,1440,720,vivoY71A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
Dalvik/2.1.0 (Linux; U; Android 11; V1824A Build/RP1A.200720.012),11,2340,1080,V1824A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 11; V2073A Build/RP1A.200720.012),11,2408,1080,V2073A,480,"[arm64-v8a, armeabi-v7a, armeabi]",3
Dalvik/2.1.0 (Linux; U; Android 9; V1901A Build/P00610),9,1544,720,V1901A,320,"[arm64-v8a, armeabi-v7a, armeabi]",2
