screen_height,screen_width,screen_density_dpi,screen_density
1920,1080,420,2.625
1920,1080,480,3
1280,720,320,2
2340,1080,480,3
2376,1080,480,3
2340,1080,375,2.34375
1280,720,320,2
1920,1080,480,3
960,480,160,1
2340,1080,440,2.75
2400,1080,420,2.625
2340,1080,480,3
2400,1080,480,3
2400,1080,480,3
2408,1080,480,3
1440,720,320,2
2340,1080,480,3
2408,1080,480,3
1544,720,320,2
2280,1080,480,3
2280,1080,480,3
2280,1080,480,3
2340,1080,480,3
2340,1080,480,3
2340,1080,480,3
1520,720,320,2
1600,720,320,2
2400,1080,480,3
2340,1080,480,3
2408,1080,480,3
1920,1080,480,3
2340,1080,480,3
2280,1080,480,3
2400,1080,480,3
2376,1080,480,3
2400,1080,480,3
1280,720,320,2
1920,1080,480,3
2400,1080,480,3
2340,1080,480,3
2340,1080,480,3
2408,1080,480,3
2408,1080,480,3
1920,1080,480,3
2408,1080,480,3
2400,1080,480,3
2316,1080,480,3
2280,1080,480,3
2400,1080,480,3
2340,1080,480,3
2280,1080,480,3
1920,1080,480,3
2560,1440,640,4
2316,1080,480,3
1280,720,320,2
2400,1080,480,3
2400,1080,480,3
2160,1080,480,3
2340,1080,480,3
2408,1080,480,3
2340,1080,480,3
2376,1080,480,3
2280,1080,480,3
2280,1080,480,3
2340,1080,480,3
2280,1080,480,3
2340,1080,480,3
2400,1080,480,3
1920,1080,480,3
1920,1080,480,3
2376,1080,480,3
1920,1080,480,3
2256,1080,440,2.75
1920,1080,480,3
2340,1080,480,3
1544,720,320,2
2280,1080,480,3
2340,1080,480,3
2400,1080,480,3
2340,1080,480,3
1520,720,320,2
2404,1080,480,3
2220,1080,480,3
1600,720,320,2
2400,1080,480,3
1600,720,320,2
1280,720,320,2
2340,1080,480,3
1920,1080,480,3
2340,1080,480,3
1520,720,320,2
1920,1080,480,3
2408,1080,480,3
2310,1080,480,3
1920,1080,480,3
2460,1080,480,3
2400,1080,440,2.75
2340,1080,480,3
2400,1080,480,3
2376,1080,480,3
2408,1080,480,3
2160,1080,540,3.375
2340,1080,480,3
1440,720,320,2
2340,1080,480,3
2400,1080,480,3
1920,1080,480,3
2376,1080,480,3
2280,1080,480,3
1544,720,320,2
3120,1440,640,4
2280,1080,480,3
2316,1080,411,2.5687501
2280,1080,480,3
2256,1080,440,2.75
2340,1080,480,3
1920,1080,480,3
2340,1080,480,3
2160,1080,480,3
2244,1080,440,2.75
2376,1080,480,3
1920,1080,480,3
1920,1080,480,3
1520,720,320,2
2280,1080,480,3
2340,1080,540,3.375
2400,1080,480,3
1920,1080,480,3
2340,1080,420,2.625
1520,720,320,2
2160,1080,480,3
2340,1080,480,3
1600,720,320,2
2280,1080,480,3
2340,1080,480,3
2376,1080,480,3
2340,1080,480,3
2160,1080,400,2.5
2340,1080,480,3
2340,1080,480,3
2280,1080,480,3
2220,1080,480,3
1920,1080,480,3
2160,1080,480,3
1920,1080,420,2.625
2376,1080,480,3
2160,1080,480,3
2340,1080,480,3
1440,720,320,2
1280,720,320,2
2160,1080,480,3
1920,1080,480,3
2160,1080,480,3
2160,1080,480,3
1520,720,320,2
2280,1080,480,3
2400,1080,480,3
2340,1080,480,3
2316,1080,480,3
960,540,240,1.5
1544,720,320,2
1440,720,320,2
2340,1080,480,3
2160,1080,480,3
1920,1080,480,3
2316,1080,480,3
2408,1080,480,3
2160,1080,480,3
1920,1080,480,3
2246,1080,420,2.625
2400,1080,420,2.625
1920,1080,480,3
1520,720,320,2
2340,1080,480,3
2640,1200,530,3.3125
2280,1080,480,3
2160,1080,480,3
2220,1080,420,2.625
2340,1080,480,3
2280,1080,480,3
2160,1080,480,3
1080,2400,480,3
2340,1080,480,3
2560,1440,640,4
1280,720,320,2
2376,1080,480,3
2220,1080,420,2.625
2280,1080,480,3
1440,720,320,2
2340,1080,480,3
1280,720,320,2
2220,1080,420,2.625
2160,1080,480,3
1920,1080,480,3
2400,1080,480,3
1920,1080,480,3
1920,1080,480,3
1280,720,320,2
2340,1080,480,3
2340,1080,480,3
2340,1080,480,3
2160,1080,460,2.875
2244,1080,480,3
2340,1080,480,3
2160,1080,440,2.75
1600,720,320,2
2400,1080,480,3
